"","Gene","norm.method","2D_2w_DMSO","2D_4w_DMSO","2D_4w_MRTX","3D_2w_DMSO","3D_2w_MRTX","3D_4w_DMSO","3D_4w_MRTX","T7_andrew","control","2D_2w_DMSO.wald.fdr","2D_4w_DMSO.wald.fdr","2D_4w_MRTX.wald.fdr","3D_2w_DMSO.wald.fdr","3D_2w_MRTX.wald.fdr","3D_4w_DMSO.wald.fdr","3D_4w_MRTX.wald.fdr","T7_andrew.wald.fdr","dependency"
"464","CTNNB1","loess",0.347995403911051,0.301644641005119,0.00729838524476797,0.249771220923526,0.241324046507397,0.143436294762339,0.2333000076458,0,"",0.89029,0.3604,0.71327,0.99932,0.98753,0.92611,0.38559,NA,-0.116673016036899
"465","CTRLA","loess",0.937676935991854,0.714600233054792,0.500648925832905,0.707178913454396,0.708554047725087,0.622990754135733,0.352570189805234,0,"",0.80326,0.38861,0.2119,0.99932,0.96814,0.7577,0.49932,NA,NA
"466","CTRLB","loess",0.515749346469037,0.863351103741356,1.18737034971809,0.267833225099026,0.343245934436632,0.397601675452503,0.54649916508335,0,"",0.99443,0.62646,0.197,0.99932,0.99322,0.94186,0.65286,NA,NA
"467","CTRLC","loess",1.06347365571695,0.696282293427251,0.526268917152644,0.551540653979036,0.507972460563169,0.39853003645639,0.44992198270456,0,"",0.55297,0.33735,0.16681,0.99932,0.98753,0.86631,0.36372,NA,NA
"468","CTRLD","loess",0.766577645025787,0.725166568200427,0.210948178734734,0.779513803904849,0.646552535595762,0.659440741632586,0.521730526905855,0,"",0.60677,0.10765,0.27377,0.87331,0.86283,0.42324,0.14885,NA,NA
"469","CTRLE","loess",0.784320393863935,0.664860276897898,0.555515595774501,0.660365639590044,0.30185972848992,0.571290726069873,0.193307639313829,0,"",0.64089,0.20955,0.07469,0.99932,0.98753,0.64132,0.56848,NA,NA
"470","CTRLF","loess",0.777301406460878,0.806619766062338,0.511240168646188,0.730406174918877,0.760542375331046,0.661498792485341,0.455411316095334,0,"",0.74383,0.13498,0.096593,0.99932,0.84822,0.55584,0.24846,NA,NA
"471","CTRLG","loess",0.366801803642568,0.240432760364704,0.28874292969115,0.521618878028079,0.407159937299941,0.488162732369067,0.318370958604491,0,"",0.91751,0.52751,0.17117,0.99932,0.97591,0.54867,0.29244,NA,NA
"472","CTRLH","loess",0.756857114564085,0.909443354826648,0.763482729284092,0.533565095118128,0.494197929574719,0.696149738247352,0.476314038384976,0,"",0.87524,0.17837,0.053047,0.99932,0.98753,0.65461,0.32604,NA,NA
"473","CTRLI","loess",0.511398386368082,0.570166285177583,0.425912151859685,0.597115758963558,0.656308249932831,0.559065307030689,0.284563860667572,0,"",0.92254,0.36967,0.19329,0.99932,0.95322,0.71491,0.50267,NA,NA
"474","CTRLJ","loess",0.932725897051057,1.41387521492848,0.347632963256664,0.921356368761715,0.713794859038192,0.707433805167232,0.648560891796658,0,"",0.92204,0.23388,0.51194,0.99932,0.98753,0.83669,0.41344,NA,NA
"475","CXCR4","loess",0.0820895539256196,-0.0577155544963734,-0.154702958747728,-0.394446185488855,-0.312653441079113,-0.349034831822692,-0.235000582290858,0,"",0.98715,0.97342,0.76127,0.61935,0.78925,0.4664,0.5339,NA,-0.0163495680567893
"476","CXXC1","loess",-0.578026475114735,-0.434254971599522,-0.142269154566676,-0.34157459332616,0.120058873804821,-0.196805409999713,0.780141730801985,0,"",0.91281,0.71735,0.92402,0.99932,0.99511,0.90927,0.29216,NA,-0.206613448555472
"477","CYP11A1","loess",0.250724532828988,0.105487314600282,0.00438231673188562,-0.109117202561397,0.226590074971576,0.140918603627083,0.713738359801583,0,"",0.98715,0.8766,0.88243,0.99932,0.98753,0.96924,0.17449,NA,-0.0654193030416956
"478","CYP11B1","loess",0.00480166478107929,-0.154444897951943,0.168466732311769,-0.0627105599054293,-0.23652776759378,-0.110720303861362,0.116573132219666,0,"",0.99928,0.90162,0.44139,0.99932,0.92184,0.86655,0.72787,NA,0.0448384398581353
"479","CYP19A1","loess",-0.0486132490543731,0.0533891615165408,0.202087236038666,0.269478918158845,0.31275351204781,0.3223854063294,0.185573014963112,0,"",0.98715,0.78878,0.24088,0.99932,0.98376,0.71491,0.47821,NA,0.0303460295785808
"480","CYP2A13","loess",0.285192129382702,-0.0787727916703588,0.254908098449205,0.255716922140045,0.0614282746926911,0.42434617407326,0.179289712932456,0,"non-essential",0.9786,0.99977,0.45786,0.99932,0.99417,0.81259,0.71074,NA,-0.175160145865377
"481","CYP2B6","loess",0.557036847324916,0.433605233441598,0.12607626568543,0.322983367819961,0.30291679023311,0.182219812694305,0.0942916828006807,0,"",0.91559,0.53354,0.67367,0.99932,0.98753,0.93883,0.82844,NA,0.0214981045701934
"482","CYP2C19","loess",0.449886034339594,0.439281510372564,-0.154855600322515,0.404955352563053,0.281828059541281,0.486074687558804,0.328677955947219,0,"non-essential",0.8551,0.26475,0.98364,0.99932,0.98753,0.55504,0.29135,NA,0.0893049394366521
"483","CYP3A7","loess",0.366938891670533,0.323285305076955,0.200233973364149,0.301541614840349,0.35615580302045,0.141818840470369,0.249532571557195,0,"",0.94979,0.51179,0.41857,0.99932,0.98753,0.94701,0.52323,NA,0.0265477112488801
"484","CYSLTR1","loess",0.260402509759471,0.176479766291699,0.106676899851608,0.411659801779514,0.635007988363463,0.413503787798664,0.42192924615558,0,"",0.97681,0.68048,0.53202,0.99932,0.79758,0.73653,0.2447,NA,0.0322773749180019
"485","DACT3","loess",0.260416236021311,0.198612903831583,-0.246467995720999,0.416114932226472,0.49299640772157,0.612058852175204,0.67128866374486,0,"",0.98715,0.69956,0.85922,0.99932,0.97111,0.55513,0.11796,NA,-0.036595496937201
